交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-06-01 14:17:29,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1008330319201506010194196250,`12898095933280357624,`o6j3_sq5dRUQ93klotG5bjSzWU2w,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01000,`0.60%
`2015-06-01 14:25:56,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1005360319201506010194209161,`12898095933280359458,`o6j3_suq1vcZB6EdTl0C5do5apgM,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01000,`0.60%
`2015-06-01 14:38:19,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1003190319201506010194267860,`12898095933280361851,`o6j3_slhnWrWvaBnFRvKz-ei1Cu0,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01000,`0.60%
