交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-05-29 16:13:08,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505290181246373,`wx36177abf9259c7ff1432887181,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`海参,`wx36177abf9259c7ffstatic100,`0.01000,`0.60%
`2015-05-29 16:21:07,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004530319201505290181302821,`12898095933279946808,`o6j3_snQms52yqKOk5hcOV6NFDxg,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01000,`0.60%
`2015-05-30 13:39:46,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1008330319201505300185261800,`12898095933280087211,`o6j3_sq5dRUQ93klotG5bjSzWU2w,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01000,`0.60%
