交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-05-03 13:45:09,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505030106175545,`wx36177abf9259c7ff1430631903,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-03 13:51:36,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505030106179363,`wx36177abf9259c7ff1430632286,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-03 13:53:33,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505030106196853,`wx36177abf9259c7ff1430632389,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-03 13:56:58,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505030106204435,`wx36177abf9259c7ff1430632613,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-03 14:01:36,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505030106200383,`wx36177abf9259c7ff1430632890,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-03 14:05:23,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505030106210753,`wx36177abf9259c7ff1430633118,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-03 14:06:33,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505030106217102,`wx36177abf9259c7ff1430633188,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-04 10:04:30,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1002870319201504290097900798,`12898095933273635845,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`JSAPI,`REFUND,`CFT,`CNY,`0,`0,`2002870319201505040004591714,`101611872015042900979007981430705070,`6.00,`1.00,`ORIGINAL,`SUCCESS,`商品测试,`,`-0.04000,`0.60%
`2015-05-04 10:04:55,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1002870319201504290097917609,`12898095933273635467,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`JSAPI,`REFUND,`CFT,`CNY,`0,`0,`2002870319201505040004591081,`101611872015042900979176091430705095,`3.00,`2.00,`ORIGINAL,`SUCCESS,`商品测试,`,`-0.02000,`0.60%
`2015-05-04 10:05:22,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1002870319201504290097796897,`12898095933273619986,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`JSAPI,`REFUND,`CFT,`CNY,`0,`0,`2002870319201505040004594447,`101611872015042900977968971430705122,`3.00,`2.00,`ORIGINAL,`SUCCESS,`商品测试,`,`-0.02000,`0.60%
`2015-05-04 10:05:52,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1002870319201504290097782149,`12898095933273618907,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`JSAPI,`REFUND,`CFT,`CNY,`0,`0,`2002870319201505040004596309,`101611872015042900977821491430705151,`2.00,`1.00,`ORIGINAL,`SUCCESS,`商品测试,`,`-0.02000,`0.60%
`2015-05-09 16:31:55,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1008330319201505090119143053,`12898095933275574790,`o6j3_sq5dRUQ93klotG5bjSzWU2w,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01000,`0.60%
`2015-05-09 16:37:32,`wx36177abf9259c7ff,`10161187,`0,`,`1008330035201505090119157454,`wx36177abf9259c7ff1431160645,`o6j3_sq5dRUQ93klotG5bjSzWU2w,`NATIVE,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-09 16:38:23,`wx36177abf9259c7ff,`10161187,`0,`,`1007680035201505090119143377,`wx36177abf9259c7ff1431160682,`o6j3_skMTaiW2YxX6QaGxsDzfSJo,`NATIVE,`SUCCESS,`BOC_DEBIT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-09 17:23:24,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1008330319201505090119249442,`12898095933275577494,`o6j3_sq5dRUQ93klotG5bjSzWU2w,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01000,`0.60%
`2015-05-11 15:20:52,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110122860282,`wx36177abf9259c7ff1431328846,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 15:25:05,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110122852377,`wx36177abf9259c7ff1431329100,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 15:28:36,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110122877077,`wx36177abf9259c7ff1431329311,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 15:29:23,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110122878654,`wx36177abf9259c7ff1431329358,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 15:30:56,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110122866596,`wx36177abf9259c7ff1431329451,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 15:37:01,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110122882146,`wx36177abf9259c7ff1431329817,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 15:48:37,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110122911947,`wx36177abf9259c7ff1431330512,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 15:49:20,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110122915910,`wx36177abf9259c7ff1431330555,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 15:50:06,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110122930449,`wx36177abf9259c7ff1431330601,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 15:54:16,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110122927527,`wx36177abf9259c7ff1431330850,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 15:55:42,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110122940050,`wx36177abf9259c7ff1431330937,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 17:00:46,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110123076737,`wx36177abf9259c7ff1431334837,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 17:03:38,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110123077390,`wx36177abf9259c7ff1431335012,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 17:30:48,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201505110123164234,`wx36177abf9259c7ff1431336643,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-11 17:35:16,`wx36177abf9259c7ff,`10161187,`0,`,`1008330035201505110123185407,`wx36177abf9259c7ff1431336897,`o6j3_sq5dRUQ93klotG5bjSzWU2w,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-12 10:59:41,`wx36177abf9259c7ff,`10161187,`0,`,`1008330035201505120124807705,`wx36177abf9259c7ff1431399550,`o6j3_sq5dRUQ93klotG5bjSzWU2w,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-12 14:59:48,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1002570319201505120125476131,`12898095933276089056,`o6j3_sgeJwO_30IoMOwh3kjopk2Y,`JSAPI,`SUCCESS,`CMB_DEBIT,`CNY,`4.00,`1.00,`0,`0,`0,`0,`,`,`冷冻商品（测试）,`,`0.03000,`0.60%
`2015-05-12 16:15:27,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1002870319201505120125681299,`12898095933276107849,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`2.00,`0,`0,`0,`0,`,`,`冷冻商品（测试）,`,`0.03000,`0.60%
`2015-05-12 16:17:21,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1002870319201505120125697819,`12898095933276108588,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`JSAPI,`SUCCESS,`CFT,`CNY,`3.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.02000,`0.60%
`2015-05-12 16:56:16,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1002870319201505120125800612,`12898095933276134771,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`JSAPI,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01000,`0.60%
`2015-05-12 16:57:32,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1002870319201505120125790917,`12898095933276135663,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`JSAPI,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01000,`0.60%
`2015-05-12 17:02:17,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1008260319201505120125799507,`12898095933276138729,`o6j3_spyEyqcSTWzASEBvehkQm-A,`JSAPI,`SUCCESS,`CFT,`CNY,`10.00,`0.00,`0,`0,`0,`0,`,`,`普通包装海参,`,`0.06000,`0.60%
`2015-05-12 17:06:46,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1002870319201505120125815322,`12898095933276142150,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`1.00,`0,`0,`0,`0,`,`,`冷冻商品（测试）,`,`0.03000,`0.60%
`2015-05-12 17:09:52,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201505120125821561,`12898095933276145044,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`SUCCESS,`CFT,`CNY,`3.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.02000,`0.60%
`2015-05-12 17:11:27,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1008260319201505120125832882,`12898095933276146850,`o6j3_spyEyqcSTWzASEBvehkQm-A,`JSAPI,`SUCCESS,`CFT,`CNY,`3.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.02000,`0.60%
`2015-05-12 17:16:33,`wx36177abf9259c7ff,`10161187,`0,`,`1004180035201505120125839510,`wx36177abf9259c7ff1431422185,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-12 17:41:09,`wx36177abf9259c7ff,`10161187,`0,`,`1002870035201505120125912097,`wx36177abf9259c7ff1431423663,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-12 17:43:08,`wx36177abf9259c7ff,`10161187,`0,`,`1002870035201505120125916083,`wx36177abf9259c7ff1431423783,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`散装海参,`wx36177abf9259c7ffstatic1,`0.00000,`0.60%
`2015-05-12 17:56:51,`wx36177abf9259c7ff,`10161187,`0,`,`1008330035201505120125952757,`wx36177abf9259c7ff1431424604,`o6j3_sq5dRUQ93klotG5bjSzWU2w,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`海参,`wx36177abf9259c7ffstatic100,`0.01000,`0.60%
`2015-05-12 17:57:02,`wx36177abf9259c7ff,`10161187,`0,`,`1001530035201505120125961448,`wx36177abf9259c7ff1431424606,`o6j3_stFjtOq97wFtT4Y95VNak1E,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`海参,`wx36177abf9259c7ffstatic100,`0.01000,`0.60%
`2015-05-12 18:02:07,`wx36177abf9259c7ff,`10161187,`0,`,`1002870035201505120125965342,`wx36177abf9259c7ff1431424922,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`海参,`wx36177abf9259c7ffstatic100,`0.01000,`0.60%
`2015-05-12 18:02:38,`wx36177abf9259c7ff,`10161187,`0,`,`1002870035201505120125957394,`wx36177abf9259c7ff1431424952,`o6j3_sqZ0bZkpOjL2BAu-78X_4KI,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`海参,`wx36177abf9259c7ffstatic100,`0.01000,`0.60%
`2015-05-12 18:11:54,`wx36177abf9259c7ff,`10161187,`0,`,`1003620035201505120125984969,`wx36177abf9259c7ff1431425482,`o6j3_siKi8nOBfOB4qEbF7SOkQHo,`NATIVE,`SUCCESS,`CMB_DEBIT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`海参,`wx36177abf9259c7ffstatic100,`0.01000,`0.60%
`2015-05-12 18:29:40,`wx36177abf9259c7ff,`10161187,`0,`,`1004180035201505120126031790,`wx36177abf9259c7ff1431426557,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`海参,`wx36177abf9259c7ffstatic100,`0.01000,`0.60%
`2015-05-12 18:34:03,`wx36177abf9259c7ff,`10161187,`0,`,`1008360035201505120126049521,`wx36177abf9259c7ff1431426834,`o6j3_spLWucPZ4B6_sXo6PA_6OCA,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`海参,`wx36177abf9259c7ffstatic100,`0.01000,`0.60%
